time,value
2019-03-14 23:52:10,5385.0
2019-03-14 23:52:20,5383.0
2019-03-14 23:52:30,5383.0
2019-03-14 23:52:40,5383.0
2019-03-14 23:52:50,5382.0
2019-03-14 23:53:00,5383.0
2019-03-14 23:53:10,5382.0
2019-03-14 23:53:20,5382.0
2019-03-14 23:53:30,5382.0
2019-03-14 23:53:40,5381.0
2019-03-14 23:53:50,5381.0
2019-03-14 23:54:00,5381.0
2019-03-14 23:54:10,5377.0
2019-03-14 23:54:20,5377.0
2019-03-14 23:54:30,5377.0
2019-03-14 23:54:40,5377.0
2019-03-14 23:54:50,5377.0
2019-03-14 23:55:00,5377.0
2019-03-14 23:55:10,5377.0
2019-03-14 23:55:20,5377.0
2019-03-14 23:55:30,5376.0
2019-03-14 23:55:40,5377.0
2019-03-14 23:55:50,5379.0
2019-03-14 23:56:00,5379.0
2019-03-14 23:56:10,5378.0
2019-03-14 23:56:20,5377.0
2019-03-14 23:56:30,5378.0
2019-03-14 23:56:40,5379.0
2019-03-14 23:56:50,5378.0
2019-03-14 23:57:00,5377.0
2019-03-14 23:57:10,5377.0
2019-03-14 23:57:20,5377.0
2019-03-14 23:57:30,5372.0
2019-03-14 23:57:40,5372.0
2019-03-14 23:57:50,5372.0
2019-03-14 23:58:00,5372.0
2019-03-14 23:58:10,5372.0
2019-03-14 23:58:20,5372.0
2019-03-14 23:58:30,5372.0
2019-03-14 23:58:40,5372.0
2019-03-14 23:58:50,5372.0
2019-03-14 23:59:00,5371.0
2019-03-14 23:59:10,5371.0
2019-03-14 23:59:20,5371.0
2019-03-14 23:59:30,5371.0
2019-03-14 23:59:40,5369.0
2019-03-14 23:59:50,5368.0
2019-03-15 00:00:00,5368.0
2019-03-15 00:00:10,5368.0
2019-03-15 00:00:20,5368.0
2019-03-15 00:00:30,5368.0
2019-03-15 00:00:40,5367.0
2019-03-15 00:00:50,5367.0
2019-03-15 00:01:00,5367.0
2019-03-15 00:01:10,5367.0
2019-03-15 00:01:20,5367.0
2019-03-15 00:01:30,5367.0
2019-03-15 00:01:40,5367.0
2019-03-15 00:01:50,5366.0
2019-03-15 00:02:00,5366.0
2019-03-15 00:02:10,5359.0
2019-03-15 00:02:20,5360.0
2019-03-15 00:02:30,5359.0
2019-03-15 00:02:40,5359.0
2019-03-15 00:02:50,5359.0
2019-03-15 00:03:00,5358.0
2019-03-15 00:03:10,5359.0
2019-03-15 00:03:20,5358.0
2019-03-15 00:03:30,5358.0
2019-03-15 00:03:40,5358.0
2019-03-15 00:03:50,5357.0
2019-03-15 00:04:00,5358.0
2019-03-15 00:04:10,5357.0
2019-03-15 00:04:20,5357.0
2019-03-15 00:04:30,5357.0
2019-03-15 00:04:40,5357.0
2019-03-15 00:04:50,5357.0
2019-03-15 00:05:00,5354.0
2019-03-15 00:05:10,5354.0
2019-03-15 00:05:20,5354.0
2019-03-15 00:05:30,5353.0
2019-03-15 00:05:40,5353.0
2019-03-15 00:05:50,5353.0
2019-03-15 00:06:00,5353.0
2019-03-15 00:06:10,5353.0
2019-03-15 00:06:20,5352.0
2019-03-15 00:06:30,5352.0
2019-03-15 00:06:40,5352.0
2019-03-15 00:06:50,5352.0
2019-03-15 00:07:00,5352.0
2019-03-15 00:07:10,5351.0
2019-03-15 00:07:20,5350.0
2019-03-15 00:07:30,5349.0
2019-03-15 00:07:40,5349.0
2019-03-15 00:07:50,5349.0
2019-03-15 00:08:00,5351.0
2019-03-15 00:08:10,5350.0
2019-03-15 00:08:20,5350.0
2019-03-15 00:08:30,5350.0
2019-03-15 00:08:40,5350.0
2019-03-15 00:08:50,5350.0
2019-03-15 00:09:00,5350.0
2019-03-15 00:09:10,5350.0
2019-03-15 00:09:20,5350.0
2019-03-15 00:09:30,5349.0
2019-03-15 00:09:40,5349.0
2019-03-15 00:09:50,5349.0
2019-03-15 00:10:00,5349.0
2019-03-15 00:10:10,5349.0
2019-03-15 00:10:20,5348.0
2019-03-15 00:10:30,5348.0
2019-03-15 00:10:40,5347.0
2019-03-15 00:10:50,5347.0
2019-03-15 00:11:00,5347.0
2019-03-15 00:11:10,5346.0
2019-03-15 00:11:20,5347.0
2019-03-15 00:11:30,5347.0
2019-03-15 00:11:40,5346.0
2019-03-15 00:11:50,5346.0
2019-03-15 00:12:00,5345.0
2019-03-15 00:12:10,5344.0
2019-03-15 00:12:20,5344.0
2019-03-15 00:12:30,5344.0
2019-03-15 00:12:40,5343.0
2019-03-15 00:12:50,5343.0
2019-03-15 00:13:00,5343.0
2019-03-15 00:13:10,5342.0
2019-03-15 00:13:20,5342.0
2019-03-15 00:13:30,5342.0
2019-03-15 00:13:40,5342.0
2019-03-15 00:13:50,5341.0
2019-03-15 00:14:00,5337.0
2019-03-15 00:14:10,5336.0
2019-03-15 00:14:20,5336.0
2019-03-15 00:14:30,5336.0
2019-03-15 00:14:40,5336.0
2019-03-15 00:14:50,5335.0
2019-03-15 00:15:00,5335.0
2019-03-15 00:15:10,5334.0
2019-03-15 00:15:20,5334.0
2019-03-15 00:15:30,5334.0
2019-03-15 00:15:40,5333.0
2019-03-15 00:15:50,5333.0
2019-03-15 00:16:00,5333.0
2019-03-15 00:16:10,5332.0
2019-03-15 00:16:20,5332.0
2019-03-15 00:16:30,5331.0
2019-03-15 00:16:40,5331.0
2019-03-15 00:16:50,5331.0
2019-03-15 00:17:00,5330.0
2019-03-15 00:17:10,5330.0
2019-03-15 00:17:20,5330.0
2019-03-15 00:17:30,5329.0
2019-03-15 00:17:40,5329.0
2019-03-15 00:17:50,5329.0
2019-03-15 00:18:00,5329.0
2019-03-15 00:18:10,5328.0
2019-03-15 00:18:20,5328.0
2019-03-15 00:18:30,5328.0
2019-03-15 00:18:40,5327.0
2019-03-15 00:18:50,5327.0
2019-03-15 00:19:00,5327.0
2019-03-15 00:19:10,5326.0
2019-03-15 00:19:20,5325.0
2019-03-15 00:19:30,5325.0
2019-03-15 00:19:40,5325.0
2019-03-15 00:19:50,5325.0
2019-03-15 00:20:00,5325.0
2019-03-15 00:20:10,5324.0
2019-03-15 00:20:20,5324.0
2019-03-15 00:20:30,5324.0
2019-03-15 00:20:40,5322.0
2019-03-15 00:20:50,5322.0
2019-03-15 00:21:00,5322.0
2019-03-15 00:21:10,5322.0
2019-03-15 00:21:20,5322.0
2019-03-15 00:21:30,5321.0
2019-03-15 00:21:40,5322.0
2019-03-15 00:21:50,5321.0
2019-03-15 00:22:00,5321.0
2019-03-15 00:22:10,5320.0
2019-03-15 00:22:20,5320.0
2019-03-15 00:22:30,5320.0
2019-03-15 00:22:40,5319.0
2019-03-15 00:22:50,5319.0
2019-03-15 00:23:00,5318.0
2019-03-15 00:23:10,5318.0
2019-03-15 00:23:20,5318.0
2019-03-15 00:23:30,5317.0
2019-03-15 00:23:40,5316.0
2019-03-15 00:23:50,5316.0
2019-03-15 00:24:00,5316.0
2019-03-15 00:24:10,5314.0
2019-03-15 00:24:20,5315.0
2019-03-15 00:24:30,5315.0
2019-03-15 00:24:40,5314.0
2019-03-15 00:24:50,5314.0
2019-03-15 00:25:00,5314.0
2019-03-15 00:25:10,5313.0
2019-03-15 00:25:20,5313.0
2019-03-15 00:25:30,5312.0
2019-03-15 00:25:40,5311.0
2019-03-15 00:25:50,5311.0
2019-03-15 00:26:00,5310.0
2019-03-15 00:26:10,5310.0
2019-03-15 00:26:20,5310.0
2019-03-15 00:26:30,5309.0
2019-03-15 00:26:40,5309.0
2019-03-15 00:26:50,5309.0
2019-03-15 00:27:00,5308.0
2019-03-15 00:27:10,5308.0
2019-03-15 00:27:20,5307.0
2019-03-15 00:27:30,5307.0
2019-03-15 00:27:40,5306.0
2019-03-15 00:27:50,5305.0
2019-03-15 00:28:00,5305.0
2019-03-15 00:28:10,5305.0
2019-03-15 00:28:20,5305.0
2019-03-15 00:28:30,5304.0
2019-03-15 00:28:40,5304.0
2019-03-15 00:28:50,5303.0
2019-03-15 00:29:00,5302.0
2019-03-15 00:29:10,5302.0
2019-03-15 00:29:20,5301.0
2019-03-15 00:29:30,5301.0
2019-03-15 00:29:40,5301.0
2019-03-15 00:29:50,5301.0
2019-03-15 00:30:00,5300.0
2019-03-15 00:30:10,5300.0
2019-03-15 00:30:20,5299.0
2019-03-15 00:30:30,5299.0
2019-03-15 00:30:40,5298.0
2019-03-15 00:30:50,5298.0
2019-03-15 00:31:00,5297.0
2019-03-15 00:31:10,5297.0
2019-03-15 00:31:20,5297.0
2019-03-15 00:31:30,5296.0
2019-03-15 00:31:40,5295.0
2019-03-15 00:31:50,5295.0
2019-03-15 00:32:00,5295.0
2019-03-15 00:32:10,5295.0
2019-03-15 00:32:20,5294.0
2019-03-15 00:32:30,5293.0
2019-03-15 00:32:40,5293.0
2019-03-15 00:32:50,5292.0
2019-03-15 00:33:00,5292.0
2019-03-15 00:33:10,5290.0
2019-03-15 00:33:20,5289.0
2019-03-15 00:33:30,5289.0
2019-03-15 00:33:40,5288.0
2019-03-15 00:33:50,5288.0
2019-03-15 00:34:00,5288.0
2019-03-15 00:34:10,5287.0
2019-03-15 00:34:20,5287.0
2019-03-15 00:34:30,5287.0
2019-03-15 00:34:40,5285.0
2019-03-15 00:34:50,5284.0
2019-03-15 00:35:00,5283.0
2019-03-15 00:35:10,5283.0
2019-03-15 00:35:20,5283.0
2019-03-15 00:35:30,5282.0
2019-03-15 00:35:40,5281.0
2019-03-15 00:35:50,5281.0
2019-03-15 00:36:00,5280.0
2019-03-15 00:36:10,5266.0
2019-03-15 00:36:20,4893.0
2019-03-15 00:36:30,4582.0
2019-03-15 00:36:40,4252.0
2019-03-15 00:36:50,3940.0
2019-03-15 00:37:00,3590.0
2019-03-15 00:37:10,3343.0
2019-03-15 00:37:20,3094.0
2019-03-15 00:37:30,2977.0
2019-03-15 00:37:40,2754.0
2019-03-15 00:37:50,2529.0
2019-03-15 00:38:00,2274.0
2019-03-15 00:38:10,2061.0
2019-03-15 00:38:20,1810.0
2019-03-15 00:38:30,1584.0
2019-03-15 00:38:40,1371.0
2019-03-15 00:38:50,1165.0
2019-03-15 00:39:00,982.0
2019-03-15 00:39:10,802.0
2019-03-15 00:39:20,649.0
2019-03-15 00:39:30,527.0
2019-03-15 00:39:40,485.0
2019-03-15 00:39:50,484.0
2019-03-15 00:40:00,485.0
2019-03-15 00:40:10,485.0
2019-03-15 00:40:20,485.0
2019-03-15 00:40:30,485.0
2019-03-15 00:40:40,485.0
2019-03-15 00:40:50,485.0
2019-03-15 00:41:00,485.0
2019-03-15 00:41:10,485.0
2019-03-15 00:41:20,485.0
2019-03-15 00:41:30,485.0
2019-03-15 00:41:40,485.0
2019-03-15 00:41:50,485.0
2019-03-15 00:42:00,486.0
2019-03-15 00:42:10,485.0
2019-03-15 00:42:20,486.0
2019-03-15 00:42:30,486.0
2019-03-15 00:42:40,485.0
2019-03-15 00:42:50,485.0
2019-03-15 00:43:00,486.0
2019-03-15 00:43:10,486.0
2019-03-15 00:43:20,486.0
2019-03-15 00:43:30,486.0
2019-03-15 00:43:40,487.0
2019-03-15 00:43:50,487.0
2019-03-15 00:44:00,485.0
2019-03-15 00:44:10,487.0
2019-03-15 00:44:20,487.0
2019-03-15 00:44:30,487.0
2019-03-15 00:44:40,487.0
2019-03-15 00:44:50,487.0
2019-03-15 00:45:00,487.0
2019-03-15 00:45:10,487.0
2019-03-15 00:45:20,487.0
